# id ssim_unmasked psnr_unmasked rmse_unmasked ssim_masked psnr_masked rmse_masked gt_path ma_path mask_path
000001 0.954889 31.846 0.025567 0.955303 35.177 0.017425 E:\sanity_check\GT_nometal\training_body_nometal_img1_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img1_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img1_512x512x1.npy
000002 0.957934 34.445 0.018957 0.958902 38.801 0.011480 E:\sanity_check\GT_nometal\training_body_nometal_img2_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img2_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img2_512x512x1.npy
000003 0.958004 35.156 0.017466 0.958613 38.871 0.011389 E:\sanity_check\GT_nometal\training_body_nometal_img3_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img3_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img3_512x512x1.npy
000004 0.919656 35.874 0.016080 0.919948 36.994 0.014135 E:\sanity_check\GT_nometal\training_body_nometal_img4_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img4_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img4_512x512x1.npy
000005 0.938855 31.962 0.025229 0.939734 35.304 0.017172 E:\sanity_check\GT_nometal\training_body_nometal_img5_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img5_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img5_512x512x1.npy
000006 0.939151 31.245 0.027401 0.940387 35.527 0.016735 E:\sanity_check\GT_nometal\training_body_nometal_img6_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img6_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img6_512x512x1.npy
000007 0.916898 34.882 0.018026 0.917037 35.698 0.016410 E:\sanity_check\GT_nometal\training_body_nometal_img7_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img7_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img7_512x512x1.npy
000008 0.930989 30.188 0.030944 0.932141 33.663 0.020741 E:\sanity_check\GT_nometal\training_body_nometal_img8_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img8_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img8_512x512x1.npy
000009 0.893490 28.259 0.038640 0.895235 31.973 0.025197 E:\sanity_check\GT_nometal\training_body_nometal_img9_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img9_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img9_512x512x1.npy
000010 0.928980 22.918 0.071470 0.938744 34.051 0.019835 E:\sanity_check\GT_nometal\training_body_nometal_img10_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img10_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img10_512x512x1.npy
000011 0.965956 31.969 0.025210 0.967420 39.511 0.010579 E:\sanity_check\GT_nometal\training_body_nometal_img11_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img11_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img11_512x512x1.npy
000012 0.944871 31.871 0.025496 0.945795 35.655 0.016491 E:\sanity_check\GT_nometal\training_body_nometal_img12_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img12_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img12_512x512x1.npy
000013 0.925623 29.792 0.032389 0.926546 32.375 0.024058 E:\sanity_check\GT_nometal\training_body_nometal_img13_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img13_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img13_512x512x1.npy
000014 0.949759 36.823 0.014417 0.950141 38.882 0.011373 E:\sanity_check\GT_nometal\training_body_nometal_img14_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img14_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img14_512x512x1.npy
000015 0.948696 37.781 0.012911 0.948842 39.127 0.011057 E:\sanity_check\GT_nometal\training_body_nometal_img15_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img15_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img15_512x512x1.npy
000016 0.845817 19.618 0.104501 0.855944 25.056 0.055872 E:\sanity_check\GT_nometal\training_body_nometal_img16_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img16_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img16_512x512x1.npy
000017 0.934661 34.425 0.019000 0.935136 36.342 0.015238 E:\sanity_check\GT_nometal\training_body_nometal_img17_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img17_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img17_512x512x1.npy
000018 0.949240 38.499 0.011886 0.949368 39.770 0.010269 E:\sanity_check\GT_nometal\training_body_nometal_img18_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img18_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img18_512x512x1.npy
000019 0.950050 37.851 0.012807 0.950116 39.487 0.010608 E:\sanity_check\GT_nometal\training_body_nometal_img19_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img19_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img19_512x512x1.npy
000020 0.933444 36.037 0.015782 0.933668 37.432 0.013440 E:\sanity_check\GT_nometal\training_body_nometal_img20_512x512x1.raw E:\sanity_check\MA\training_body_metalart_img20_512x512x1.npy E:\sanity_check\mask\training_body_metalonlymask_img20_512x512x1.npy
